LDCpointID,ProjectKey,PrimaryKey,DateVisited,Trt_Type_Major,Trt_Type_Sub,most_recent_comp,recent_trt_count
147,BLM_AIM,NML00000_2020_Loam_3482019-09-01,2019-10-16,NA,NA,NA,NA
148,BLM_AIM,NM_Carlsbad_LUP_2019_Gypsum_470_V12020-09-01,2020-09-23,Prescribed Burn,Prescribed Burn,2017-03-03,1
149,BLM_AIM,1000000692018-09-01,2018-09-03,NA,NA,NA,NA
150,BLM_AIM,NMP02000_Year1_HabActive_5212019-09-01,2019-12-04,NA,NA,NA,NA
151,BLM_AIM,AZ_TFO_LUP_2020_WHWD_414_V12022-09-01,2022-09-26,NA,NA,NA,NA
152,BLM_AIM,20113513020201R1,2011-10-31,NA,NA,NA,NA
153,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_188_V12022-09-01,2022-10-25,NA,NA,NA,NA
154,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-337_V22021-09-01,2021-09-22,NA,NA,NA,NA
155,BLM_AIM,17100809103967162017-09-01,2017-10-04,NA,NA,NA,NA
156,BLM_AIM,20183535201105B1,2018-05-04,NA,NA,NA,NA
157,BLM_AIM,19081514500388782019-09-01,2019-08-14,NA,NA,NA,NA
158,BLM_AIM,20153515200103B1,2015-07-31,NA,NA,NA,NA
159,BLM_AIM,18101513324313092018-09-01,2018-10-14,NA,NA,NA,NA
160,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-334_V22021-09-01,2021-09-21,NA,NA,NA,NA
161,BLM_AIM,16102716461144672016-09-01,2016-10-23,NA,NA,NA,NA
162,BLM_AIM,NML00000_2020_Sandy_5172019-09-01,2019-10-28,NA,NA,NA,NA
163,BLM_AIM,NML00000_Panel19_MIMB_2812019-09-01,2020-02-12,NA,NA,NA,NA
164,BLM_AIM,20143513201407B1,2014-06-11,NA,NA,NA,NA
165,BLM_AIM,20153515200103B2,2015-07-31,NA,NA,NA,NA
166,BLM_AIM,NM_LasCrucesDO_2016_LUP_Mal-383_V22021-09-01,2021-08-19,NA,NA,NA,NA
167,BLM_AIM,17110115314049412017-09-01,2017-10-22,NA,NA,NA,NA
168,BLM_AIM,20153513201411B1,2015-06-04,NA,NA,NA,NA
169,BLM_AIM,20153513201411B2,2015-06-04,NA,NA,NA,NA
170,BLM_AIM,20183535201105B2,2018-05-04,NA,NA,NA,NA
171,BLM_AIM,NML00000_2019_Shallow_5662019-09-01,2019-10-02,NA,NA,NA,NA
172,BLM_AIM,20143513201407B2,2014-06-11,NA,NA,NA,NA
173,BLM_AIM,NMP02000_Year1_HabActive_5092019-09-01,2019-10-09,NA,NA,NA,NA
174,BLM_AIM,NML00000_2019_Hills_2122019-09-01,2019-10-01,NA,NA,NA,NA
175,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-333_V22021-09-01,2021-09-22,NA,NA,NA,NA
176,BLM_AIM,16080412354714602016-09-01,2016-08-03,NA,NA,NA,NA
177,BLM_AIM,20143515200105B1,2014-07-23,NA,NA,NA,NA
178,BLM_AIM,NM_LasCrucesDO_2016_LUP_Shallow-555_V22021-09-01,2021-08-17,NA,NA,NA,NA
179,BLM_AIM,18010514045283942017-09-01,2017-10-19,NA,NA,NA,NA
180,BLM_AIM,16100510513021652016-09-01,2016-10-04,NA,NA,NA,NA
181,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-462_V22021-09-01,2021-09-16,NA,NA,NA,NA
182,BLM_AIM,NML00000_OverSamp_MIMB_3052019-09-01,2019-09-19,NA,NA,NA,NA
183,BLM_AIM,20113513020201R2,2011-08-10,NA,NA,NA,NA
184,BLM_AIM,18101810201342682018-09-01,2018-10-17,NA,NA,NA,NA
185,BLM_AIM,AZ_TFO_LUP_2020_SP_383_V12022-09-01,2022-09-23,NA,NA,NA,NA
186,BLM_AIM,20143515200105B2,2014-07-23,NA,NA,NA,NA
187,BLM_AIM,17102310064053812017-09-01,2017-10-16,NA,NA,NA,NA
188,BLM_AIM,NM_LasCrucesDO_2016_LUP_Bottom-005_V22021-09-01,2021-09-14,NA,NA,NA,NA
189,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_026_V12020-09-01,2020-10-11,NA,NA,NA,NA
