Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID
26117,73644,2012-05-03,2012-05-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30691
26118,73645,2012-12-05,2012-12-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30692
26119,73646,2013-04-10,2013-04-14,Prescribed Burn,Prescribed Burn,Prescribed Burn,30693
26120,73647,2013-01-07,2014-05-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30694
26121,73648,2013-03-11,2013-03-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30695
26122,73649,2013-05-05,2013-05-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30696
26123,73650,2013-03-28,2013-04-08,Prescribed Burn,Prescribed Burn,Prescribed Burn,30697
26124,73651,2013-09-03,2013-09-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30698
26125,73652,2014-03-07,2014-03-14,Prescribed Burn,Prescribed Burn,Prescribed Burn,30699
26126,73653,2014-12-08,2015-05-02,Prescribed Burn,Prescribed Burn,Prescribed Burn,30700
26127,73654,2014-10-01,2014-12-19,Prescribed Burn,Prescribed Burn,Prescribed Burn,30701
26128,73655,2014-04-24,2014-04-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30702
26129,73656,2014-10-20,2014-10-22,Prescribed Burn,Prescribed Burn,Prescribed Burn,30703
26130,73657,2014-12-11,2014-12-11,Prescribed Burn,Prescribed Burn,Prescribed Burn,30704
26131,73658,2014-10-01,2015-04-17,Prescribed Burn,Prescribed Burn,Prescribed Burn,30705
26132,73659,2014-10-23,2014-10-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30706
26133,73660,2014-09-03,2014-09-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30707
26134,73661,2014-02-04,2014-02-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30708
26135,73662,2014-04-22,2014-04-25,Prescribed Burn,Prescribed Burn,Prescribed Burn,30709
26136,73663,2014-03-06,2014-03-07,Prescribed Burn,Prescribed Burn,Prescribed Burn,30710
26137,73664,2014-12-05,2014-12-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30711
26138,73665,2015-07-29,2015-10-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30712
26139,73666,2015-10-01,2015-10-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30713
26140,73667,2015-03-31,2015-04-02,Prescribed Burn,Prescribed Burn,Prescribed Burn,30714
26141,73668,2015-10-29,2016-11-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30715
26142,73669,2015-04-30,2015-05-09,Prescribed Burn,Prescribed Burn,Prescribed Burn,30716
26143,73670,2015-03-12,2015-03-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30717
26144,73671,2016-02-24,2016-03-24,Prescribed Burn,Prescribed Burn,Prescribed Burn,30718
26145,73672,2016-04-13,2016-05-18,Prescribed Burn,Prescribed Burn,Prescribed Burn,30719
26146,73673,2016-03-02,2016-03-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30720
26147,73674,2016-07-28,2016-07-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30721
26148,73675,2016-03-03,2016-03-04,Prescribed Burn,Prescribed Burn,Prescribed Burn,30722
26149,73676,2016-09-06,2016-09-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30723
26150,73677,2016-05-05,2016-05-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30724
26151,73678,2016-02-23,2016-03-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30725
26152,73679,2016-03-15,2016-03-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30726
26153,73680,2016-02-25,2016-11-04,Prescribed Burn,Prescribed Burn,Prescribed Burn,30727
26154,73681,2016-04-28,2016-04-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30728
26155,73682,2017-03-09,2017-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30729
26156,73683,2017-04-13,2017-05-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30730
26157,73684,2017-04-03,2017-05-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30731
26158,73685,2017-04-24,2017-04-25,Prescribed Burn,Prescribed Burn,Prescribed Burn,30732
26159,73686,2017-10-11,2017-10-25,Prescribed Burn,Prescribed Burn,Prescribed Burn,30733
26160,73687,2017-11-10,2017-11-17,Prescribed Burn,Prescribed Burn,Prescribed Burn,30734
26161,73688,2017-03-15,2017-03-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30735
26162,73689,2017-06-06,2017-06-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30736
26163,73690,2017-10-01,2018-06-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30737
26164,73691,2017-04-19,2017-04-24,Prescribed Burn,Prescribed Burn,Prescribed Burn,30738
26165,73692,2017-05-04,2017-05-11,Prescribed Burn,Prescribed Burn,Prescribed Burn,30739
