NameCode,Scientific,CurrentPLANTSCode,GrowthHabit,GrowthHabitSub,Duration,Nonnative,Invasive,GrowthHabitSub2
CYCAP5,Cylindropuntia californica var. parkeri,CYCAP5,Woody,Succulent,Perennial,NATIVE,,Shrub
CYCO22,Cymopterus constancei,CYCO22,NonWoody,Forb,Perennial,NATIVE,,Forb
CYDA,Cynodon dactylon,CYDA,NonWoody,Graminoid,Perennial,EXOTIC,INVASIVE,Graminoid
CYER2,Cyperus erythrorhizos,CYER2,NonWoody,Graminoid,Annual,NATIVE,,Graminoid
CYES,Cyperus esculentus,CYES,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
CYFE2,Cyperus fendlerianus,CYFE2,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
CYFR2,Cystopteris fragilis,CYFR2,NonWoody,Forb,Perennial,NATIVE,,Forb
CYFU10,Cylindropuntia fulgida,CYFU10,Woody,Succulent,Perennial,NATIVE,,Shrub
CYGL,Cymopterus glaucus,CYGL,NonWoody,Forb,Perennial,NATIVE,,Forb
CYIB,Cymopterus ibapensis,CYIB,NonWoody,Forb,Perennial,NATIVE,,Forb
CYIM2,Cylindropuntia imbricata,CYIM2,Woody,Succulent,Perennial,NATIVE,,Shrub
CYLE8,Cylindropuntia leptocaulis,CYLE8,Woody,Succulent,Perennial,NATIVE,,Shrub
CYLO,Cymopterus longipes,CYLO,NonWoody,Forb,Perennial,NATIVE,,Forb
CYMO,Cymopterus montanus,CYMO,NonWoody,Forb,Perennial,NATIVE,,Forb
CYMOP2,Cymopterus,CYMOP2,NonWoody,Forb,Perennial,NATIVE,,Forb
CYOF,Cynoglossum officinale,CYOF,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
CYPER,Cyperus,CYPER,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
CYPERA,Cyperaceae,CYPERA,NonWoody,Graminoid,,NATIVE,,Graminoid
CYPL,Cymopterus planosus,CYPL,NonWoody,Forb,Perennial,NATIVE,,Forb
CYPU,Cymopterus purpurascens,CYPU,NonWoody,Forb,Perennial,NATIVE,,Forb
CYPU2,Cymopterus purpureus,CYPU2,NonWoody,Forb,Perennial,NATIVE,,Forb
CYRA9,Cylindropuntia ramosissima,CYRA9,Woody,Succulent,Perennial,NATIVE,,Shrub
CYSP8,Cylindropuntia spinosior,CYSP8,Woody,Succulent,Perennial,NATIVE,,Shrub
CYWH,Cylindropuntia whipplei,CYWH,Woody,Succulent,Perennial,NATIVE,,Shrub
OPWH,Opuntia whipplei,CYWH,Woody,Succulent,Perennial,NATIVE,,Shrub
DACA3,Danthonia californica,DACA3,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DACA7,Dalea candida,DACA7,NonWoody,Forb,Perennial,NATIVE,,Forb
DAFO,Dalea formosa,DAFO,Woody,Shrub,Perennial,NATIVE,,Shrub
DAFR6,Dasiphora fruticosa,DAFR6,Woody,Shrub,Perennial,NATIVE,,Shrub
POFR4,Potentilla fruticosa,DAFR6,Woody,Shrub,Perennial,NATIVE,,Shrub
DAFRF,Dasiphora fruticosa subsp. floribunda,DAFRF,Woody,Shrub,Perennial,NATIVE,,Shrub
PEFL15,Pentaphylloides floribunda,DAFRF,Woody,Shrub,Perennial,NATIVE,,Shrub
DAHLI,Dahlia,DAHLI,,,,EXOTIC,,
DAIN,Danthonia intermedia,DAIN,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DALE2,Dasylirion leiophyllum,DALE2,Woody,Succulent,Perennial,NATIVE,,Shrub
DANA,Dalea nana,DANA,NonWoody,Forb,Perennial,NATIVE,,Forb
DANTH,Danthonia,DANTH,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DAOR2,Dalea ornata,DAOR2,NonWoody,Forb,Perennial,NATIVE,,Forb
DAPA2,Danthonia parryi,DAPA2,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DAPU3,Daucus pusillus,DAPU3,NonWoody,Forb,Annual,NATIVE,,Forb
DAPU5,Dalea purpurea,DAPU5,NonWoody,Forb,Perennial,NATIVE,,Forb
DAPU7,Dasyochloa pulchella,DAPU7,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DASE3,Dalea searlsiae,DASE3,NonWoody,Forb,Perennial,NATIVE,,Forb
DASP2,Danthonia spicata,DASP2,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DASYL,Dasylirion,DASYL,Woody,Succulent,Perennial,NATIVE,,Shrub
DASYO,Dasyochloa,DASYO,NonWoody,Graminoid,Annual,NATIVE,,Graminoid
DAUN,Danthonia unispicata,DAUN,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DAWH2,Dasylirion wheeleri,DAWH2,Woody,Succulent,Perennial,NATIVE,,Shrub
DEAN,Delphinium andersonii,DEAN,NonWoody,Forb,Perennial,NATIVE,,Forb
DEBA2,Delphinium barbeyi,DEBA2,NonWoody,Forb,Perennial,NATIVE,,Forb
DEBI,Delphinium bicolor,DEBI,NonWoody,Forb,Perennial,NATIVE,,Forb
DEBIB,Delphinium bicolor subsp. bicolor,DEBIB,NonWoody,Forb,Perennial,NATIVE,,Forb
DECA6,Descurainia californica,DECA6,NonWoody,Forb,Annual,NATIVE,,Forb
DECA18,Deschampsia caespitosa,DECE,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DECE,Deschampsia cespitosa,DECE,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DECO2,Desmanthus cooleyi,DECO2,NonWoody,Forb,Perennial,NATIVE,,Forb
DEDA,Deschampsia danthonioides,DEDA,NonWoody,Graminoid,Annual,NATIVE,,Graminoid
DEDE2,Delphinium depauperatum,DEDE2,NonWoody,Forb,Perennial,NATIVE,,Forb
DEDI11,Delphinium distichum,DEDI11,NonWoody,Forb,Perennial,NATIVE,,Forb
DEEL,Deschampsia elongata,DEEL,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
DEGE2,Delphinium geyeri,DEGE2,NonWoody,Forb,Perennial,NATIVE,,Forb
DEGL,Delphinium glareosum,DEGL,NonWoody,Forb,Perennial,NATIVE,,Forb
