ORIG_OID,OVERLAP_OID,ProjectKey,PrimaryKey,DateVisited
42923,29590,BLM_AIM,CA_ELFO_INT_DryVal_2022_NORCALNONR1072_V22022-09-01,2022-05-04
42924,28382,BLM_AIM,CA_ELFO_INT_Laura2_2022_GraniticUnburned33_V42022-09-01,2022-04-21
42925,28413,BLM_AIM,CA_ELFO_INT_Laura2_2022_GraniticUnburned34_V42022-09-01,2022-04-10
42926,28395,BLM_AIM,CA_ELFO_INT_Laura2_2022_Laura2Fire2_V22022-09-01,2022-04-10
42927,28368,BLM_AIM,CA_ELFO_INT_Laura2_2022_Laura2Fire3_V22022-09-01,2022-04-10
42928,28421,BLM_AIM,CA_ELFO_INT_Laura2_2022_Laura2Fire4_V12022-09-01,2022-04-10
42929,28364,BLM_AIM,CA_ELFO_INT_Laura2_2022_Laura2Fire5_V12022-09-01,2022-04-09
42930,33081,BLM_AIM,CA_ELFO_INT_NHorse_2022_NorthHorseFuels01_V12022-09-01,2022-05-15
42931,33165,BLM_AIM,CA_ELFO_INT_NHorse_2022_NorthHorseFuels02_V12022-09-01,2022-05-14
42932,33276,BLM_AIM,CA_ELFO_INT_NHorse_2022_NorthHorseFuels03_V12022-09-01,2022-05-13
42933,33355,BLM_AIM,CA_ELFO_INT_NHorse_2022_NorthHorseFuels04_V12022-09-01,2022-05-13
42934,33391,BLM_AIM,CA_ELFO_INT_NHorse_2022_RavendaleAmp1_V22022-09-01,2022-05-14
42935,33062,BLM_AIM,CA_ELFO_INT_NHorse_2022_RavendaleAmp860_V22022-09-01,2022-05-15
42936,32334,BLM_AIM,CA_ELFO_INT_Parsni_2022_ParsnipHerbicide01_V12022-09-01,2022-06-10
42937,32624,BLM_AIM,CA_ELFO_INT_Parsni_2022_ParsnipSeeding01_V12022-09-01,2022-07-08
42938,32638,BLM_AIM,CA_ELFO_INT_Parsni_2022_ParsnipSeeding02_V12022-09-01,2022-07-08
42939,32685,BLM_AIM,CA_ELFO_INT_Parsni_2022_ParsnipSeeding03_V12022-09-01,2022-07-09
42940,32731,BLM_AIM,CA_ELFO_INT_Parsni_2022_ParsnipSeeding04_V12022-09-01,2022-07-09
42941,32711,BLM_AIM,CA_ELFO_INT_Parsni_2022_ParsnipSeeding05_V12022-09-01,2022-07-09
42942,32642,BLM_AIM,CA_ELFO_INT_Parsni_2022_ParsnipSeeding06_V12022-09-01,2022-07-10
42943,32577,BLM_AIM,CA_ELFO_INT_Parsni_2022_TwinPeaks033_V42022-09-01,2022-06-10
42944,32459,BLM_AIM,CA_ELFO_INT_Parsni_2022_TwinPeaks34_V62022-09-01,2022-06-10
42945,32258,BLM_AIM,CA_ELFO_INT_Parsni_2022_TwinPeaks38_V62022-09-01,2022-06-11
42946,32205,BLM_AIM,CA_ELFO_INT_Parsni_2022_TwinPeaks43_V62022-09-01,2022-06-11
42947,32353,BLM_AIM,CA_ELFO_INT_Parsni_2022_TwinPeaks488_V42022-09-01,2022-06-09
42948,32509,BLM_AIM,CA_ELFO_INT_Ranch_2022_RanchFireDrillSeeding1_V22022-09-01,2022-04-22
42949,32424,BLM_AIM,CA_ELFO_INT_Ranch_2022_RanchFireDrillSeeding2_V22022-09-01,2022-04-23
42950,32505,BLM_AIM,CA_ELFO_INT_Ranch_2022_RanchFireDrillSeeding3_V22022-09-01,2022-04-22
42951,32496,BLM_AIM,CA_ELFO_INT_Ranch_2022_RanchFireUntreated1_V22022-09-01,2022-04-23
