LDCpointID,ProjectKey,PrimaryKey,DateVisited,TrtPolyID,Trt_Type_Major,Trt_Type_Sub,comp_date_est
289,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_GRO_147_V12022-09-01,2022-08-31,,,,
291,BLM_AIM,NML00000_Panel2_MIMB_0232019-09-01,2019-10-01,,,,
292,BLM_AIM,AZ_TFO_LUP_2020_SP_391_V12022-09-01,2022-09-27,,,,
293,BLM_AIM,NML00000_OverSamp_MIMB_3232019-09-01,2019-11-18,,,,
294,BLM_AIM,16102714453525922016-09-01,2016-10-24,,,,
295,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-463_V22021-09-01,2021-10-21,,,,
296,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_187_V12022-09-01,2022-11-02,,,,
297,BLM_AIM,NM_CFO_LUP_2019_ChiActive-050_V12023-09-01,2023-10-10,,,,
298,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-233_V12023-09-01,2023-09-14,,,,
299,BLM_AIM,NM_LasCrucesTriCounty_2017_LOO_311_V12020-09-01,2020-12-05,,,,
300,BLM_AIM,NMP02000_Year1_ChiStatic_2112019-09-01,2019-09-10,,,,
301,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_059_V12020-09-01,2020-10-05,,,,
302,BLM_AIM,20143529200319B1,2014-06-25,,,,
303,BLM_AIM,NML00000_2019_Mal_3992019-09-01,2019-10-12,,,,
304,BLM_AIM,20143529200319B2,2014-06-25,,,,
305,BLM_AIM,NM_LasCrucesTriCounty_2017_BOO_063_V12020-09-01,2021-01-19,,,,
306,BLM_AIM,16082509252268562016-09-01,2016-08-24,,,,
307,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-466_V22021-09-01,2021-08-24,,,,
308,BLM_AIM,18010508303074152017-09-01,2017-11-14,,,,
310,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_GRS_176_V12022-09-01,2022-09-16,,,,
311,BLM_AIM,16110816162981262016-09-01,2016-11-06,,,,
312,BLM_AIM,AZ_TFO_LUP_2020_SP-402_V12023-09-01,2023-09-24,,,,
313,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-521_V22021-09-01,2021-08-25,,,,
314,BLM_AIM,NM_LasCrucesTriCounty_2017_GRO_141_V12020-09-01,2021-01-16,,,,
315,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-231_V12023-09-01,2023-08-20,,,,
316,BLM_AIM,1709181125586022017-09-01,2017-09-12,,,,
317,BLM_AIM,18091708593442232018-09-01,2018-09-16,,,,
318,BLM_AIM,20113513030101O2,2011-11-01,,,,
319,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_MHI_389_V12022-09-01,2022-08-30,,,,
320,BLM_AIM,AZ_TFO_RANGE_2023_UNGZ-02_V32023-09-01,2023-09-23,,,,
321,BLM_AIM,19081708300288352019-09-01,2019-08-16,,,,
322,BLM_AIM,19081915461251582019-09-01,2019-08-18,,,,
323,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-215_V12023-09-01,2023-08-19,,,,
324,BLM_AIM,18091112520330472018-09-01,2018-09-05,,,,
325,BLM_AIM,NM_CFO_LUP_2019_ChiActive-054_V12023-09-01,2023-10-23,,,,
327,BLM_AIM,20163515200106B1,2016-05-12,,,,
