LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
29228,11051015080998492011-09-01,9595,28267
29325,20173215106217B1,9595,28267
29361,20173215106217B2,9595,28267
29663,20223215202913B1,9596,28268
29009,20143215106207B2,9597,28270
29386,11051916042618912011-09-01,9602,28269
30199,20203211104214B1,9603,28287
30223,20203211104214B2,9603,28287
30293,11051916242891032011-09-01,9603,28287
30363,11051916270774592011-09-01,9603,28287
30734,11051916100162722011-09-01,9604,28296
30604,2020327106215B1,9605,28297
30618,2020327106215B2,9605,28297
30956,11051916165898532011-09-01,9605,28297
31443,2019327104209B1,9608,28290
31472,2019327104209B2,9608,28290
30900,20091915232923092020-09-01,9609,28289
41129,ID_JFO_LUP_2023_BSWD2023-001_V12023-09-01,9622,28315
48023,17060409082757382017-09-01,9625,28327
48130,20124145140801R1,9625,28327
48322,18073109153146122018-09-01,9625,28327
48371,20184145274426B1,9625,28327
48372,18062814284410282018-09-01,9625,28327
38319,16062008475768452016-09-01,9668,28469
36854,20171683104611B1,9669,28478
36858,16053117322963632016-09-01,9669,28478
36904,16061913020328982016-09-01,9669,28478
36905,ID_BUFO_LUP_2021_NAT-039_V22023-09-01,9669,28478
43613,20141663105113B2,9671,28481
43614,20141663105113B1,9671,28481
45638,20121663050201B1,9674,28488
45682,19070207362653142019-09-01,9674,28488
42544,20211663106108B1,9696,28546
42549,20211663106108B2,9696,28546
37153,2014327108310B1,9721,28662
37195,2014327108310B2,9721,28662
51419,OR_LVFO_2021_LFO2021-144_V12023-09-01,9727,28673
22716,19082113533164552019-09-01,9751,28746
2928,NM_RFO_LUP_2023_RFO2023-NR-012_V12023-09-01,9766,41403
24824,20124945061301O1,9800,28890
25151,18062815231914492018-09-01,9800,28890
46270,20111639040401B2,9834,29000
46285,20111639040401B1,9834,29000
32182,CA_CA-Northeastern-California-LUP-Revist-2021_Twin-Peaks-296_V42021-09-01,9847,29079
32183,17071315575944012017-09-01,9847,29079
32184,19050419182313152019-09-01,9847,29079
32185,18091008340960092018-09-01,9847,29079
32253,18091013165348702018-09-01,9847,29079
32255,13091613482717172013-09-01,9847,29079
32256,13091613482717172015-09-01,9847,29079
32257,19050419210890382019-09-01,9847,29079
32258,CA_ELFO_INT_Parsni_2022_TwinPeaks38_V62022-09-01,9847,29079
32394,20163231104804B1,9847,29079
32416,20163231104804B2,9847,29079
5296,NM_RioPuerco_LUP_2017_SB_291_V12020-09-01,9849,29087
33552,14072810240572142014-09-01,9876,29153
33585,17082815110631842017-09-01,9876,29153
33686,2012327160901P3,9876,29153
6289,14061314525893152014-09-01,9939,29351
6291,15061510031758732015-09-01,9939,29351
6322,150720134938652015-09-01,9939,29351
6337,16060610115453242016-09-01,9939,29351
6388,14061212452221242014-09-01,9939,29351
6389,16060606420981932016-09-01,9939,29351
6399,15060910175257212015-09-01,9939,29351
5479,NM_RPFO_LUP_2022_RPFO2022_027_V12022-09-01,9954,29386
5487,NM_RioPuerco_LUP_2017_SB_288_V12020-09-01,9954,29386
23856,19082511262147012019-09-01,9956,29391
33965,18061713304451472018-09-01,9974,29451
33966,15073014284134952015-09-01,9974,29451
55400,MT_DFO-Random-2021_RRL-015_V22021-09-01,9975,29457
55401,16100313293942992016-09-01,9975,29457
45503,OR_OR_BUDO_2021_BDO2021-052_V12021-09-01,10026,29595
45095,ID_FourRiversFOLUP2019_PLN-184_V12021-09-01,10084,29693
