FID_TrtPoly009,Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID,FID_MLRA,MLRA_ID,MLRARSYM,MLRA_NAME,LRRSYM,LRR_NAME,Shape_Length,Shape_Area
589,6625,18217,6/12/1963,6/21/1963,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,6073,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,15204.609678236398395,3796769.379890647251159
722,8024,21996,5/27/1961,5/28/1961,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,7392,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,19158.652219611041801,4257229.393408484756947
723,8025,21997,6/23/1963,6/25/1963,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,7393,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,11798.698207523593737,5682435.790139576420188
738,8203,22478,6/12/1963,6/19/1963,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,7551,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,14016.658339876992613,10259067.040780294686556
1021,11664,31630,6/9/1964,6/11/1964,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,10734,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,13245.280383692766918,7625026.767187492921948
1048,11963,32345,6/7/1964,9/7/1964,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,10947,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,5905.645089100685254,1021051.012398214079440
1149,13216,610,6/17/1993,6/17/1993,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,12136,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,3666.381351719260692,854856.044361844426021
1164,13497,18287,2/19/2002,12/31/2002,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,12404,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,7461.866243818516523,1282163.152167230844498
1176,13670,28682,5/2/2001,12/31/2001,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,12543,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,14199.720783432232565,2662307.435726377647370
1205,15274,39132,11/27/2006,11/4/2013,Prescribed Burn,Prescribed Burn,Prescribed Burn: Pile Burn,13431,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,692.067435996107406,26601.381030817407009
3,22,64,9/9/1997,9/9/1997,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,38,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,9796.198968864619019,709837.525467781932093
145,1571,4405,3/13/2000,3/13/2000,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,1484,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,22172.800674399986747,4388035.431662685237825
307,3263,9124,3/20/1995,3/20/1995,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,2985,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,13544.874857049497223,4148104.321193313226104
308,3263,9125,9/23/1996,9/23/1996,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,2986,33,33,32,Northern Intermountain Desertic Basins,D,Western Range and Irrigated Region,5491.453233359332444,1052668.950145378243178
