PrimaryKey,ORIG_OID
11081211391792192011-09-01,563
110816132243322011-09-01,564
11081614382672932011-09-01,565
11081615423768262011-09-01,566
11081615442474952011-09-01,567
11081708123447442011-09-01,568
11081709404687922011-09-01,569
11081712443048842011-09-01,570
11081714103285252011-09-01,571
1108171503529112011-09-01,572
11081715393256132011-09-01,573
11081715442896312011-09-01,574
11081807004046472011-09-01,575
11081807213676532011-09-01,576
11081807340268412011-09-01,577
11081807562944132011-09-01,578
11081808071393772011-09-01,579
11081808095090902011-09-01,580
11081808224527422011-09-01,581
11081808240831492011-09-01,582
11081808482575142011-09-01,583
11081809003099512011-09-01,584
11081809114988602011-09-01,585
11081809155841042011-09-01,586
11081809205771462011-09-01,587
11081809205771462013-09-01,588
11081809205771462014-09-01,589
11081809205771462015-09-01,590
11081809325131142011-09-01,591
11081809391094222011-09-01,592
11081809515773832011-09-01,593
11081810082770762011-09-01,594
11081810153848432011-09-01,595
11081810165258852011-09-01,596
11081810375027152011-09-01,597
11081810392622752011-09-01,598
11081810504959502011-09-01,599
1108181058544542011-09-01,600
11081811253864612011-09-01,601
1108181223078222011-09-01,602
11081812271796372011-09-01,603
11081812485570102011-09-01,604
11081813184977582011-09-01,605
11081813284089712011-09-01,606
11081814174577782011-09-01,607
11081814245075332011-09-01,608
11081908473182902011-09-01,609
11081910230669472011-09-01,610
11081911264487442011-09-01,611
11081913554036922011-09-01,612
11081915191463732011-09-01,613
11082010264113492011-09-01,614
11082013195059562011-09-01,615
1108210737552102011-09-01,616
11082110262235442011-09-01,617
11082113115397472011-09-01,618
11082115485819982011-09-01,619
11082208024397482011-09-01,620
1108220955294152011-09-01,621
11082210342941292011-09-01,622
11082211452690922011-09-01,623
11082213010167312011-09-01,624
11082213033129242011-09-01,625
11082213595615142011-09-01,626
11082309494632752011-09-01,627
11082311042529102011-09-01,628
11082312131834752011-09-01,629
11082313242475962011-09-01,630
11082314093136312011-09-01,631
11082409121934442011-09-01,632
11082416061988082011-09-01,633
11083109190874372011-09-01,634
11083109190874372013-09-01,635
11083109190874372014-09-01,636
11083109190874372015-09-01,637
11083114530996252011-09-01,638
11083114553872011-09-01,639
11083114585142792011-09-01,640
11083115001047322011-09-01,641
11083117441589692011-09-01,642
11090108440630052011-09-01,643
11090714435268482011-09-01,644
11090715570284672011-09-01,645
11091215474328362011-09-01,646
11091218393540542011-09-01,647
11091307541957972011-09-01,648
11091313205434222011-09-01,649
11091315535342902011-09-01,650
11091410262422142011-09-01,651
11091414223493422011-09-01,652
11091414595882242011-09-01,653
11091415483624382011-09-01,654
11091416475447642011-09-01,655
11091515510428352011-09-01,656
11091908410334802011-09-01,657
11091909593661122011-09-01,658
11091916103744362011-09-01,659
11092109511972572011-09-01,660
1109211155239312011-09-01,661
1109220924425472011-09-01,662
11092310284587222011-09-01,663
11092310370320882011-09-01,664
11092311384274942011-09-01,665
11092311505958362011-09-01,666
11092312104693572011-09-01,667
11092313172349112011-09-01,668
11092313322185512011-09-01,669
11092314244392612011-09-01,670
11092314450667472011-09-01,671
11092315224866172011-09-01,672
11092410413280792011-09-01,673
11092411590444092011-09-01,674
11092511181817782011-09-01,675
11092512355419512011-09-01,676
11092513385789152011-09-01,677
11092514462888032011-09-01,678
11092607481677152011-09-01,679
11092608014376152011-09-01,680
11092610325829002011-09-01,681
11092612170970302011-09-01,682
11092614014087262013-09-01,683
11092614014087262014-09-01,684
